date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2025-12-21,2025,12,21,chokepoint6,Strait of Hormuz,13,12,1,1,30,27,57,412109,787581,14536,0,900778,1214227,2115006,15992
2025-12-22,2025,12,22,chokepoint6,Strait of Hormuz,10,11,4,2,31,27,58,318556,312092,28708,6160,1306879,665517,1972397,15993
2025-12-23,2025,12,23,chokepoint6,Strait of Hormuz,18,15,2,3,36,38,74,503747,508081,2145,9878,2611062,1023852,3634914,15994
2025-12-24,2025,12,24,chokepoint6,Strait of Hormuz,16,19,5,3,32,43,75,571619,923708,29917,9846,1505153,1535093,3040246,15995
2025-12-25,2025,12,25,chokepoint6,Strait of Hormuz,9,19,3,6,48,37,85,414453,812142,11467,18838,1779613,1256901,3036515,15996
2025-12-26,2025,12,26,chokepoint6,Strait of Hormuz,13,12,3,2,46,30,76,388877,524366,11119,8028,2997250,932391,3929642,15997
2025-12-27,2025,12,27,chokepoint6,Strait of Hormuz,12,11,6,1,49,30,79,401757,430274,25201,5411,2079995,862645,2942641,15998
2025-12-28,2025,12,28,chokepoint6,Strait of Hormuz,8,19,7,5,36,39,75,356946,501855,43254,0,2553047,902057,3455104,15999
2025-12-29,2025,12,29,chokepoint6,Strait of Hormuz,15,8,6,3,38,32,70,720282,266018,27376,9338,1377943,1023015,2400958,16000
2025-12-30,2025,12,30,chokepoint6,Strait of Hormuz,16,10,5,3,40,34,74,471825,526662,22271,10383,2287245,1031142,3318388,15651
2025-12-31,2025,12,31,chokepoint6,Strait of Hormuz,12,12,2,5,55,31,86,241256,396742,5234,8678,3602283,651911,4254195,15652
2026-01-01,2026,1,1,chokepoint6,Strait of Hormuz,20,5,5,5,33,35,68,656148,142599,38203,6835,2624205,843786,3467991,15653
2026-01-02,2026,1,2,chokepoint6,Strait of Hormuz,10,16,4,2,33,32,65,324365,625875,39851,8028,1549060,998120,2547180,15654
2026-01-03,2026,1,3,chokepoint6,Strait of Hormuz,13,8,3,4,41,28,69,502163,799999,6762,3931,2374280,1312857,3687138,15655
2026-01-04,2026,1,4,chokepoint6,Strait of Hormuz,10,18,4,4,35,36,71,330006,906613,11548,20261,2561406,1268430,3829836,15656
2026-01-05,2026,1,5,chokepoint6,Strait of Hormuz,13,10,5,0,36,28,64,657454,316028,17054,0,2395675,990537,3386213,15657
2026-01-06,2026,1,6,chokepoint6,Strait of Hormuz,22,8,6,6,40,42,82,538079,370702,50461,22504,915988,981747,1897735,15658
2026-01-07,2026,1,7,chokepoint6,Strait of Hormuz,17,12,2,6,47,37,84,401649,431161,3792,12761,2584320,849364,3433685,15659
2026-01-08,2026,1,8,chokepoint6,Strait of Hormuz,11,14,2,3,40,30,70,538854,437437,16617,1586,2369001,994496,3363498,15660
2026-01-09,2026,1,9,chokepoint6,Strait of Hormuz,9,19,6,6,50,40,90,274945,587474,18586,10812,3658756,891819,4550575,15661
2026-01-10,2026,1,10,chokepoint6,Strait of Hormuz,10,13,8,5,41,36,77,268759,377513,37473,1341,1621746,685087,2306834,15662
2026-01-11,2026,1,11,chokepoint6,Strait of Hormuz,15,14,2,7,39,38,77,468106,420205,7826,7848,2338412,903987,3242399,15663
2026-01-12,2026,1,12,chokepoint6,Strait of Hormuz,10,6,5,6,44,27,71,385411,187084,28992,13819,2194921,615308,2810229,15664
2026-01-13,2026,1,13,chokepoint6,Strait of Hormuz,15,11,3,3,31,32,63,557238,304618,4383,3648,984609,869888,1854498,15665
2026-01-14,2026,1,14,chokepoint6,Strait of Hormuz,10,18,6,2,42,36,78,309266,515280,24193,5375,1953567,854116,2807684,15666
2026-01-15,2026,1,15,chokepoint6,Strait of Hormuz,13,14,4,1,41,32,73,513293,362752,25024,10135,2550787,911206,3461994,15667
2026-01-16,2026,1,16,chokepoint6,Strait of Hormuz,13,12,3,7,40,35,75,431367,491868,13509,19743,1982949,956488,2939438,15668
2026-01-17,2026,1,17,chokepoint6,Strait of Hormuz,11,8,4,1,31,24,55,391557,340101,5763,0,2035317,737422,2772740,15669
2026-01-18,2026,1,18,chokepoint6,Strait of Hormuz,17,14,8,4,29,43,72,548727,452722,42349,6653,2262245,1050452,3312698,15670
2026-01-19,2026,1,19,chokepoint6,Strait of Hormuz,12,13,8,4,41,37,78,243382,1179240,58768,8902,1184740,1490293,2675034,15671
2026-01-20,2026,1,20,chokepoint6,Strait of Hormuz,18,14,1,5,47,38,85,492827,645392,14341,5170,2692059,1157732,3849792,15672
2026-01-21,2026,1,21,chokepoint6,Strait of Hormuz,13,12,3,3,42,31,73,358365,561080,15246,13747,3199140,948439,4147580,15673
2026-01-22,2026,1,22,chokepoint6,Strait of Hormuz,8,14,4,6,36,32,68,316209,587091,77146,7404,1463105,987851,2450957,15674
2026-01-23,2026,1,23,chokepoint6,Strait of Hormuz,12,10,7,4,29,33,62,545455,273539,37884,15319,2489398,872199,3361597,15675
2026-01-24,2026,1,24,chokepoint6,Strait of Hormuz,10,16,2,4,31,32,63,294839,454408,22872,10722,1217182,782842,2000025,15676
2026-01-25,2026,1,25,chokepoint6,Strait of Hormuz,14,7,5,5,59,31,90,345380,314328,25650,12056,3526111,697416,4223527,15677
2026-01-26,2026,1,26,chokepoint6,Strait of Hormuz,10,6,7,3,28,26,54,356454,272281,12813,2105,1508018,643654,2151673,15678
2026-01-27,2026,1,27,chokepoint6,Strait of Hormuz,21,11,3,2,42,37,79,570344,34300,8109,7622,2596539,620377,3216916,15679
2026-01-28,2026,1,28,chokepoint6,Strait of Hormuz,12,8,4,3,40,27,67,402399,247258,10660,8606,1314581,668925,1983507,15680
2026-01-29,2026,1,29,chokepoint6,Strait of Hormuz,13,15,6,4,48,38,86,419473,340291,30912,13421,2514977,804099,3319077,15681
2026-01-30,2026,1,30,chokepoint6,Strait of Hormuz,17,10,6,5,48,38,86,427146,467555,40065,0,2770122,934768,3704890,15682
2026-01-31,2026,1,31,chokepoint6,Strait of Hormuz,16,16,8,4,56,44,100,375182,1256779,45899,3793,3061927,1681654,4743582,15683
2026-02-01,2026,2,1,chokepoint6,Strait of Hormuz,18,17,4,4,37,43,80,447700,631693,11686,4682,2360180,1095762,3455943,15684
2026-02-02,2026,2,2,chokepoint6,Strait of Hormuz,13,10,8,4,55,35,90,535030,412970,32466,2609,4060874,983076,5043951,15685
2026-02-03,2026,2,3,chokepoint6,Strait of Hormuz,18,13,6,1,45,38,83,499748,507703,44431,2231,1753051,1054114,2807166,15686
2026-02-04,2026,2,4,chokepoint6,Strait of Hormuz,14,10,7,3,43,34,77,491472,232941,29812,8362,1973736,762589,2736325,15687
2026-02-05,2026,2,5,chokepoint6,Strait of Hormuz,15,18,4,6,46,43,89,640832,434483,13721,13035,2705556,1102073,3807630,15688
2026-02-06,2026,2,6,chokepoint6,Strait of Hormuz,14,13,2,3,50,32,82,191057,447980,14408,12239,2633514,665686,3299200,15689
2026-02-07,2026,2,7,chokepoint6,Strait of Hormuz,13,25,3,1,48,42,90,425226,567773,7212,4621,2315954,1004833,3320787,15690
2026-02-08,2026,2,8,chokepoint6,Strait of Hormuz,16,15,7,3,49,41,90,404837,378357,41830,9336,2285657,834362,3120019,15691
2026-02-09,2026,2,9,chokepoint6,Strait of Hormuz,8,12,2,3,41,25,66,390825,803386,0,7593,1858114,1201805,3059920,15692
2026-02-10,2026,2,10,chokepoint6,Strait of Hormuz,15,16,3,2,59,36,95,512108,637174,5682,1865,3929442,1156830,5086272,15693
2026-02-11,2026,2,11,chokepoint6,Strait of Hormuz,12,17,4,3,46,36,82,265293,540357,25848,3046,1772127,834546,2606674,15694
2026-02-12,2026,2,12,chokepoint6,Strait of Hormuz,21,29,9,5,55,64,119,654066,818967,66215,13857,2755205,1553107,4308312,15695
2026-02-13,2026,2,13,chokepoint6,Strait of Hormuz,17,18,5,6,64,46,110,510658,652530,4843,0,2584875,1168031,3752907,15696
2026-02-14,2026,2,14,chokepoint6,Strait of Hormuz,18,16,6,1,58,41,99,431287,504276,16474,3793,2427837,955832,3383669,15697
2026-02-15,2026,2,15,chokepoint6,Strait of Hormuz,12,18,4,3,50,37,87,570954,742447,26507,4388,2550407,1344297,3894704,15698
2026-02-16,2026,2,16,chokepoint6,Strait of Hormuz,10,12,9,4,60,35,95,149567,257102,54710,6850,2988622,468230,3456853,15699
2026-02-17,2026,2,17,chokepoint6,Strait of Hormuz,24,14,5,5,43,48,91,689090,760485,14530,2855,2386408,1466961,3853369,15700
2026-02-18,2026,2,18,chokepoint6,Strait of Hormuz,25,22,6,8,52,61,113,726980,728074,23948,11425,2779866,1490428,4270295,15902
2026-02-19,2026,2,19,chokepoint6,Strait of Hormuz,21,22,8,2,62,53,115,643512,1111225,40875,2371,3662867,1797984,5460852,15903
2026-02-20,2026,2,20,chokepoint6,Strait of Hormuz,16,14,4,2,54,36,90,442160,620282,16199,0,2433032,1078642,3511675,15904
2026-02-21,2026,2,21,chokepoint6,Strait of Hormuz,14,21,3,2,54,40,94,266396,437570,18090,5308,2289889,727365,3017254,15905
2026-02-22,2026,2,22,chokepoint6,Strait of Hormuz,28,22,4,3,72,57,129,828020,976580,5544,8078,3433752,1818224,5251976,15906
2026-02-23,2026,2,23,chokepoint6,Strait of Hormuz,13,12,10,6,62,41,103,421958,330884,21391,7511,2288511,781746,3070257,15907
2026-02-24,2026,2,24,chokepoint6,Strait of Hormuz,18,23,5,6,55,52,107,608789,970183,9959,10224,1911840,1599156,3510997,15908
2026-02-25,2026,2,25,chokepoint6,Strait of Hormuz,28,15,6,2,58,51,109,724050,535218,39139,0,4484145,1298408,5782553,15909
2026-02-26,2026,2,26,chokepoint6,Strait of Hormuz,20,14,12,3,53,49,102,551812,501641,59358,0,1611556,1112812,2724369,15910
2026-02-27,2026,2,27,chokepoint6,Strait of Hormuz,12,23,5,2,53,42,95,494734,755683,6251,8028,3153071,1264698,4417770,15911
2026-02-28,2026,2,28,chokepoint6,Strait of Hormuz,10,16,4,2,44,32,76,274629,441895,20223,11221,2996963,747971,3744935,15912
2026-03-01,2026,3,1,chokepoint6,Strait of Hormuz,3,4,3,0,7,10,17,64346,73010,13807,0,207948,151164,359113,15913
2026-03-02,2026,3,2,chokepoint6,Strait of Hormuz,0,2,0,0,2,2,4,0,0,0,0,0,0,0,15914
2026-03-03,2026,3,3,chokepoint6,Strait of Hormuz,1,2,0,0,2,3,5,0,96964,0,0,6701,96964,103665,15915
2026-03-04,2026,3,4,chokepoint6,Strait of Hormuz,2,1,0,0,0,3,3,43543,18130,0,0,0,61673,61673,15916
2026-03-05,2026,3,5,chokepoint6,Strait of Hormuz,2,0,1,0,1,3,4,37457,0,5901,0,0,43358,43358,15917
2026-03-06,2026,3,6,chokepoint6,Strait of Hormuz,0,5,0,0,0,5,5,0,89328,0,0,0,89328,89328,15918
2026-03-07,2026,3,7,chokepoint6,Strait of Hormuz,1,3,1,0,2,5,7,1688,72330,0,0,0,74018,74018,15919
2026-03-08,2026,3,8,chokepoint6,Strait of Hormuz,1,3,1,0,1,5,6,0,101991,3208,0,0,105199,105199,15920
2026-03-09,2026,3,9,chokepoint6,Strait of Hormuz,0,2,1,0,6,3,9,0,0,1599,0,154941,1599,156541,15921
2026-03-10,2026,3,10,chokepoint6,Strait of Hormuz,0,2,0,1,1,3,4,0,80734,0,4090,42122,84824,126946,15922
2026-03-11,2026,3,11,chokepoint6,Strait of Hormuz,1,2,1,0,1,4,5,79885,43477,6281,0,51338,129643,180982,15923
2026-03-12,2026,3,12,chokepoint6,Strait of Hormuz,3,2,0,0,3,5,8,47699,0,0,0,5366,47699,53065,15924
2026-03-13,2026,3,13,chokepoint6,Strait of Hormuz,0,0,0,0,3,0,3,0,0,0,0,23880,0,23880,15925
2026-03-14,2026,3,14,chokepoint6,Strait of Hormuz,1,0,1,0,1,2,3,0,0,449,0,0,449,449,15926
2026-03-15,2026,3,15,chokepoint6,Strait of Hormuz,0,3,1,0,5,4,9,0,0,7862,0,348432,7862,356294,15927
2026-03-16,2026,3,16,chokepoint6,Strait of Hormuz,0,4,0,0,0,4,4,0,0,0,0,0,0,0,15928
2026-03-17,2026,3,17,chokepoint6,Strait of Hormuz,0,0,1,0,1,1,2,0,0,449,0,47804,449,48254,15929
2026-03-18,2026,3,18,chokepoint6,Strait of Hormuz,0,1,0,0,0,1,1,0,0,0,0,0,0,0,15930
2026-03-19,2026,3,19,chokepoint6,Strait of Hormuz,0,2,0,0,1,2,3,0,0,0,0,34576,0,34576,15931
2026-03-20,2026,3,20,chokepoint6,Strait of Hormuz,1,1,1,0,3,3,6,45674,74945,449,0,118692,121069,239761,15932
2026-03-21,2026,3,21,chokepoint6,Strait of Hormuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15933
2026-03-22,2026,3,22,chokepoint6,Strait of Hormuz,0,3,0,0,0,3,3,0,47219,0,0,0,47219,47219,15934
